Velocidad de entrada;Velocidad medida por el motor;Velocidad giroscopio;;;;;
175;170,496;158,85;;;;;
175;175,824;169,79;;;;;
175;173,16;162,12;;;;;
175;175,824;168,93;;;;;
175;173,16;159,1;;;;;
175;173,16;167,48;;;;;
175;173,16;162,31;;;;;
175;175,824;169,37;;;;;
175;175,824;158,54;;;;;
175;173,16;169,27;;;;;
175;175,824;157,66;;;;;
175;173,16;170,22;;;;;
175;175,824;159,76;;;;;
175;173,16;169,82;;;;;
175;175,824;159,52;;;;;
175;173,16;167,45;;;;;
175;175,824;160,42;;;;;
175;175,824;169,5;;;;;
175;175,824;160,18;;;;;
175;173,16;171,5;;;;;
175;173,16;160,37;;;;;
175;173,16;167,88;;;;;
175;173,16;159,27;;;;;
175;175,824;170,68;;;;;
175;173,16;156,76;;;;;
175;175,824;167,18;;;;;
175;173,16;158,49;;;;;
175;175,824;169,98;;;;;
175;173,16;160,15;Teorico;Desvest Gyro;Prom AX;Prom Gyro;Error
175;175,824;169,13;175;5,086725749;174,3144;164,3893333;9,925066667
165;165,168;155,91;;;;;
165;162,504;153,49;;;;;
165;165,168;155,66;;;;;
165;165,168;154,86;;;;;
165;165,168;155,11;;;;;
165;165,168;155,55;;;;;
165;167,832;155,2;;;;;
165;165,168;152,74;;;;;
165;165,168;155,03;;;;;
165;165,168;158,27;;;;;
165;165,168;154,53;;;;;
165;165,168;152,8;;;;;
165;165,168;155,31;;;;;
165;165,168;157;;;;;
165;165,168;155,34;;;;;
165;165,168;152,4;;;;;
165;162,504;156,29;;;;;
165;165,168;154,4;;;;;
165;162,504;154,98;;;;;
165;165,168;153,56;;;;;
165;165,168;157,76;;;;;
165;165,168;152,68;;;;;
165;162,504;155,21;;;;;
165;162,504;155,24;;;;;
165;162,504;156,92;;;;;
165;162,504;153,01;;;;;
165;162,504;156,53;;;;;
165;162,504;154,92;;;;;
165;165,168;156,55;;;;;
165;162,504;152,18;165;1,589726392;164,3688;154,981;9,3878
155;154,512;144,68;;;;;
155;157,176;149,05;;;;;
155;157,176;149,66;;;;;
155;154,512;152,52;;;;;
155;154,512;154,21;;;;;
155;151,848;149,49;;;;;
155;154,512;153;;;;;
155;154,512;149,21;;;;;
155;154,512;156,9;;;;;
155;154,512;149,69;;;;;
155;154,512;147,65;;;;;
155;151,848;150,99;;;;;
155;157,176;147,95;;;;;
155;154,512;150,5;;;;;
155;154,512;150,4;;;;;
155;151,848;149,36;;;;;
155;154,512;148,77;;;;;
155;151,848;150,06;;;;;
155;154,512;150,48;;;;;
155;157,176;149,5;;;;;
155;154,512;149,38;;;;;
155;154,512;149,55;;;;;
155;157,176;147,95;;;;;
155;157,176;149,15;;;;;
155;151,848;148,88;;;;;
155;151,848;150;;;;;
155;154,512;158,6;;;;;
155;154,512;150,52;;;;;
155;154,512;149,73;;;;;
155;154,512;149,2;155;2,655957108;154,512;150,2343333;4,277666667
145;143,856;128,89;;;;;
145;143,856;148,17;;;;;
145;146,52;141,11;;;;;
145;143,856;125,39;;;;;
145;143,856;134,47;;;;;
145;143,856;147,44;;;;;
145;141,192;148,79;;;;;
145;143,856;146,6;;;;;
145;138,528;133,27;;;;;
145;143,856;146,37;;;;;
145;143,856;130,96;;;;;
145;146,52;149,06;;;;;
145;143,856;154,54;;;;;
145;143,856;130,13;;;;;
145;141,192;140,54;;;;;
145;143,856;148,29;;;;;
145;146,52;131,24;;;;;
145;143,856;125,75;;;;;
145;143,856;128,76;;;;;
145;143,856;150,91;;;;;
145;141,192;132,68;;;;;
145;141,192;145,85;;;;;
145;146,52;133,55;;;;;
145;146,52;150,06;;;;;
145;143,856;131,58;;;;;
145;141,192;143,43;;;;;
145;146,52;131,86;;;;;
145;146,52;148,65;;;;;
145;143,856;142,62;;;;;
145;143,856;149,99;145;8,95447801;143,856;140,0316667;3,824333333
135;135,864;131,24;;;;;
135;135,864;121,5;;;;;
135;135,864;136,24;;;;;
135;130,536;126,08;;;;;
135;133,2;134,82;;;;;
135;133,2;126,21;;;;;
135;130,536;138,03;;;;;
135;133,2;121,57;;;;;
135;133,2;130,4;;;;;
135;135,864;125,09;;;;;
135;133,2;120,65;;;;;
135;133,2;135,02;;;;;
135;133,2;128,63;;;;;
135;135,864;130,11;;;;;
135;133,2;128,82;;;;;
135;133,2;130,2;;;;;
135;133,2;129,87;;;;;
135;133,2;132,67;;;;;
135;133,2;135,34;;;;;
135;130,536;137,68;;;;;
135;133,2;121,53;;;;;
135;133,2;129,63;;;;;
135;133,2;128,65;;;;;
135;133,2;121,04;;;;;
135;133,2;130,81;;;;;
135;130,536;119,27;;;;;
135;133,2;139,16;;;;;
135;133,2;118,09;;;;;
135;135,864;126,96;;;;;
135;133,2;118,4;135;6,169979685;133,3776;128,457;4,9206
125;122,544;112,24;;;;;
125;125,208;106,6;;;;;
125;122,544;110,25;;;;;
125;125,208;105,89;;;;;
125;122,544;109,66;;;;;
125;122,544;106,23;;;;;
125;122,544;110,44;;;;;
125;125,208;107,23;;;;;
125;119,88;110,92;;;;;
125;125,208;108,6;;;;;
125;122,544;113,43;;;;;
125;122,544;108,31;;;;;
125;122,544;112,73;;;;;
125;125,208;106,04;;;;;
125;119,88;112,72;;;;;
125;122,544;107,18;;;;;
125;119,88;113,35;;;;;
125;122,544;108,11;;;;;
125;122,544;112,89;;;;;
125;125,208;108,33;;;;;
125;119,88;112,92;;;;;
125;125,208;106,34;;;;;
125;122,544;110,46;;;;;
125;122,544;108,44;;;;;
125;122,544;112,14;;;;;
125;122,544;105,79;;;;;
125;122,544;112,18;;;;;
125;122,544;106,13;;;;;
125;125,208;110,85;;;;;
125;119,88;107,37;125;2,645977233;122,8104;109,459;13,3514
115;114,552;94,84;;;;;
115;117,216;99,86;;;;;
115;114,552;95,39;;;;;
115;111,888;102,34;;;;;
115;117,216;95,41;;;;;
115;117,216;101,15;;;;;
115;119,88;95,1;;;;;
115;117,216;96,71;;;;;
115;111,888;93,08;;;;;
115;117,216;98,56;;;;;
115;117,216;100,79;;;;;
115;111,888;99,92;;;;;
115;117,216;96,46;;;;;
115;114,552;101,5;;;;;
115;117,216;96,79;;;;;
115;119,88;96,48;;;;;
115;111,888;93,92;;;;;
115;114,552;97,79;;;;;
115;114,552;95,09;;;;;
115;117,216;106,85;;;;;
115;117,216;101,95;;;;;
115;114,552;99,81;;;;;
115;117,216;94,5;;;;;
115;117,216;96,45;;;;;
115;111,888;96,2;;;;;
115;119,88;96,84;;;;;
115;111,888;96,95;;;;;
115;117,216;102,33;;;;;
115;114,552;93,74;;;;;
115;111,888;100,58;115;3,249448689;115,6176;97,91266667;17,70493333
105;106,56;92,61;;;;;
105;103,896;86,73;;;;;
105;106,56;95,85;;;;;
105;106,56;85,86;;;;;
105;106,56;93,21;;;;;
105;106,56;99,17;;;;;
105;106,56;88,8;;;;;
105;106,56;87,69;;;;;
105;106,56;94,71;;;;;
105;106,56;86,27;;;;;
105;106,56;96,96;;;;;
105;106,56;91,2;;;;;
105;106,56;91,98;;;;;
105;106,56;96,6;;;;;
105;106,56;90,8;;;;;
105;109,224;88,06;;;;;
105;103,896;95,89;;;;;
105;109,224;87,71;;;;;
105;106,56;95,93;;;;;
105;109,224;90,85;;;;;
105;106,56;89,76;;;;;
105;106,56;98,8;;;;;
105;109,224;97,01;;;;;
105;106,56;90,08;;;;;
105;106,56;92,64;;;;;
105;106,56;88,37;;;;;
105;106,56;93,73;;;;;
105;109,224;98,47;;;;;
105;109,224;85,92;;;;;
105;106,56;96,95;105;4,208712761;106,9152;92,287;14,6282
95;95,904;88,25;;;;;
95;93,24;90,76;;;;;
95;95,904;89,16;;;;;
95;95,904;88;;;;;
95;95,904;88,86;;;;;
95;95,904;86,93;;;;;
95;95,904;89,07;;;;;
95;95,904;97,46;;;;;
95;93,24;88,78;;;;;
95;95,904;92,25;;;;;
95;95,904;89;;;;;
95;95,904;96,77;;;;;
95;98,568;89,22;;;;;
95;95,904;94,47;;;;;
95;93,24;88,7;;;;;
95;95,904;90,6;;;;;
95;98,568;88,49;;;;;
95;95,904;85,56;;;;;
95;98,568;89,31;;;;;
95;95,904;87,6;;;;;
95;95,904;88,53;;;;;
95;95,904;88,12;;;;;
95;93,24;88,95;;;;;
95;95,904;87,05;;;;;
95;95,904;87,95;;;;;
95;95,904;85,74;;;;;
95;95,904;88,4;;;;;
95;95,904;87,92;;;;;
95;95,904;89,2;;;;;
95;95,904;87,02;95;2,742632681;95,8152;89,27066667;6,544533333
85;87,912;73,86;;;;;
85;85,248;79,82;;;;;
85;87,912;72,12;;;;;
85;85,248;77,31;;;;;
85;85,248;78,85;;;;;
85;85,248;78,85;;;;;
85;87,912;73,65;;;;;
85;85,248;75,73;;;;;
85;85,248;77,07;;;;;
85;85,248;77,99;;;;;
85;85,248;72,88;;;;;
85;85,248;85,89;;;;;
85;87,912;73,73;;;;;
85;85,248;73,16;;;;;
85;85,248;80,09;;;;;
85;85,248;78,08;;;;;
85;85,248;72,75;;;;;
85;85,248;87,48;;;;;
85;87,912;78,79;;;;;
85;85,248;76,14;;;;;
85;85,248;72,32;;;;;
85;87,912;73,98;;;;;
85;87,912;72,39;;;;;
85;85,248;74,82;;;;;
85;85,248;75,29;;;;;
85;85,248;81,11;;;;;
85;85,248;72,23;;;;;
85;85,248;77,67;;;;;
85;87,912;75,15;;;;;
85;85,248;72,25;85;3,899355458;85,9584;76,38166667;9,576733333
75;74,592;74,86;;;;;
75;74,592;70,24;;;;;
75;74,592;74,15;;;;;
75;74,592;70,27;;;;;
75;77,256;74,08;;;;;
75;74,592;70,06;;;;;
75;74,592;74,53;;;;;
75;71,928;69,07;;;;;
75;74,592;75,31;;;;;
75;74,592;63,01;;;;;
75;74,592;70,7;;;;;
75;74,592;64,94;;;;;
75;74,592;74,98;;;;;
75;77,256;71,44;;;;;
75;71,928;75,28;;;;;
75;74,592;69,87;;;;;
75;74,592;73,56;;;;;
75;77,256;68,59;;;;;
75;71,928;75,41;;;;;
75;74,592;70,48;;;;;
75;77,256;74,93;;;;;
75;74,592;64,88;;;;;
75;74,592;71,33;;;;;
75;74,592;64,76;;;;;
75;71,928;71,37;;;;;
75;74,592;69,47;;;;;
75;74,592;74,18;;;;;
75;77,256;70,11;;;;;
75;74,592;75,03;;;;;
75;74,592;67,78;75;3,575000056;74,6808;71,15566667;3,525133333
65;63,936;54,47;;;;;
65;63,936;56,05;;;;;
65;66,6;55,89;;;;;
65;63,936;56,55;;;;;
65;66,6;56,15;;;;;
65;66,6;57,55;;;;;
65;63,936;59,85;;;;;
65;63,936;55,63;;;;;
65;63,936;55,12;;;;;
65;63,936;56,63;;;;;
65;63,936;55,02;;;;;
65;63,936;58,44;;;;;
65;66,6;56,1;;;;;
65;63,936;58,02;;;;;
65;66,6;56,96;;;;;
65;66,6;58,69;;;;;
65;63,936;55,76;;;;;
65;61,272;57,21;;;;;
65;66,6;55,56;;;;;
65;63,936;54,5;;;;;
65;63,936;56,2;;;;;
65;61,272;55,12;;;;;
65;66,6;54,54;;;;;
65;66,6;57,02;;;;;
65;63,936;54,47;;;;;
65;63,936;58,27;;;;;
65;66,6;60,53;;;;;
65;66,6;59,03;;;;;
65;63,936;54,07;;;;;
65;63,936;57,84;65;1,688973843;64,7352;56,57466667;8,160533333
55;55,944;50,47;;;;;
55;53,28;48,83;;;;;
55;55,944;51,95;;;;;
55;58,608;50,73;;;;;
55;55,944;53,91;;;;;
55;55,944;47,16;;;;;
55;55,944;50,85;;;;;
55;53,28;49,08;;;;;
55;50,616;51,03;;;;;
55;55,944;47,06;;;;;
55;55,944;54,4;;;;;
55;53,28;48,55;;;;;
55;55,944;55,66;;;;;
55;55,944;50,24;;;;;
55;55,944;52,27;;;;;
55;55,944;49,32;;;;;
55;53,28;52,15;;;;;
55;55,944;48,03;;;;;
55;55,944;54,99;;;;;
55;53,28;49,74;;;;;
55;53,28;50,8;;;;;
55;55,944;48,03;;;;;
55;55,944;53,49;;;;;
55;58,608;47,52;;;;;
55;55,944;53,92;;;;;
55;55,944;51,42;;;;;
55;53,28;51,11;;;;;
55;55,944;50,73;;;;;
55;53,28;55,03;;;;;
55;55,944;46,7;55;2,561430567;55,2336;50,839;4,3946
45;42,624;43,85;;;;;
45;47,952;41,91;;;;;
45;45,288;41,95;;;;;
45;45,288;41,89;;;;;
45;45,288;44,27;;;;;
45;45,288;41,27;;;;;
45;45,288;42,98;;;;;
45;47,952;41,8;;;;;
45;45,288;42,73;;;;;
45;47,952;41,39;;;;;
45;42,624;43,32;;;;;
45;47,952;39,81;;;;;
45;45,288;44,66;;;;;
45;45,288;42,26;;;;;
45;42,624;43,52;;;;;
45;45,288;41,2;;;;;
45;45,288;45,59;;;;;
45;47,952;41,57;;;;;
45;45,288;45,11;;;;;
45;45,288;41,5;;;;;
45;45,288;44,01;;;;;
45;45,288;42,15;;;;;
45;45,288;46,66;;;;;
45;47,952;38,98;;;;;
45;47,952;46,5;;;;;
45;42,624;42,4;;;;;
45;45,288;43,48;;;;;
45;47,952;42,33;;;;;
45;45,288;42,89;;;;;
45;47,952;41,31;45;1,775881487;45,732;42,77633333;2,955666667
35;34,632;35,15;;;;;
35;34,632;38,73;;;;;
35;34,632;34,63;;;;;
35;34,632;36,33;;;;;
35;34,632;33,96;;;;;
35;37,296;34,92;;;;;
35;34,632;34,9;;;;;
35;34,632;36,95;;;;;
35;34,632;34,83;;;;;
35;34,632;35,51;;;;;
35;37,296;34,21;;;;;
35;37,296;36,31;;;;;
35;37,296;36,02;;;;;
35;34,632;33,56;;;;;
35;37,296;31,51;;;;;
35;34,632;34,28;;;;;
35;34,632;34,94;;;;;
35;34,632;36,15;;;;;
35;37,296;35,83;;;;;
35;34,632;39,04;;;;;
35;34,632;36,73;;;;;
35;34,632;39,47;;;;;
35;37,296;33,35;;;;;
35;34,632;35,31;;;;;
35;37,296;36,33;;;;;
35;37,296;39,04;;;;;
35;34,632;36,13;;;;;
35;34,632;38,78;;;;;
35;34,632;36,31;;;;;
35;34,632;38,31;35;1,897324674;35,4312;35,91733333;0,486133333
25;26,64;24,69;;;;;
25;26,64;22,85;;;;;
25;26,64;24,66;;;;;
25;26,64;21,61;;;;;
25;26,64;26,01;;;;;
25;29,304;22,11;;;;;
25;26,64;26,68;;;;;
25;23,976;23,24;;;;;
25;23,976;26,64;;;;;
25;26,64;24,65;;;;;
25;26,64;26,79;;;;;
25;26,64;26,38;;;;;
25;23,976;25,26;;;;;
25;26,64;24,86;;;;;
25;26,64;25;;;;;
25;26,64;22,93;;;;;
25;26,64;25,19;;;;;
25;23,976;21,41;;;;;
25;23,976;25,56;;;;;
25;23,976;23,43;;;;;
25;23,976;25,56;;;;;
25;23,976;22,32;;;;;
25;26,64;25,02;;;;;
25;23,976;20,92;;;;;
25;26,64;22,92;;;;;
25;23,976;24,9;;;;;
25;26,64;25,6;;;;;
25;23,976;26,53;;;;;
25;26,64;23,34;;;;;
25;21,312;24,12;25;1,686841434;25,5744;24,37266667;1,201733333
15;15,984;7,61;;;;;
15;15,984;11,69;;;;;
15;15,984;11,66;;;;;
15;13,32;14,02;;;;;
15;15,984;15,4;;;;;
15;18,648;15,49;;;;;
15;15,984;11,49;;;;;
15;10,656;13,63;;;;;
15;15,984;15,18;;;;;
15;13,32;13,47;;;;;
15;15,984;8,67;;;;;
15;10,656;14,5;;;;;
15;15,984;14,78;;;;;
15;15,984;15,9;;;;;
15;15,984;7,02;;;;;
15;15,984;16,3;;;;;
15;15,984;8,25;;;;;
15;15,984;16,75;;;;;
15;15,984;11,31;;;;;
15;15,984;14,95;;;;;
15;15,984;14,44;;;;;
15;15,984;16,2;;;;;
15;15,984;12,89;;;;;
15;15,984;15,3;;;;;
15;15,984;7,64;;;;;
15;13,32;14,63;;;;;
15;15,984;11,38;;;;;
15;15,984;11,55;;;;;
15;15,984;8,08;;;;;
15;13,32;13,85;15;2,954808296;15,3624;12,801;2,5614
